,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph
49,0.72399998,DMA,Caribbean,12613.72,,,5.46,,5.485832691192627
188,0.79400003,URY,LatAm,12804.84,3.453999996185303,6.199999809265137,6.0300002,24.799999,8.581491470336914
175,0.83600003,ARE,NorthAfrica,20310.109,,7.199999809265137,1.91,,3.643985748291016
25,0.55199999,MMR,SouthEastAsia,5733.3701,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288
115,0.64499998,MAR,NorthAfrica,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041
91,0.79900002,KWT,NorthAfrica,64342.711,3.999000072479248,9.5,0.02,,3.042368412017822
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498
127,0.94800001,NOR,WesternDem,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152
95,0.495,LSO,SubSaharian,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432
96,0.82800001,LVA,EastEurope,16583.67,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945
53,0.58200002,GNQ,SubSaharian,15412.43,,,10.72,,3.804079055786133
151,0.491,SEN,SubSaharian,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693
166,0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957
178,0.68800002,TKM,EastEurope,13217.39,,,2.9000001,,2.067386150360107
123,0.91299999,NZL,WesternDem,26481.369,4.554999828338623,4.699999809265137,9.0699997,17.6,11.02960968017578
14,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516
73,0.62300003,HND,LatAm,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791
193,0.57599998,ZMB,SubSaharian,1916.79,,56.40000152587891,2.4100001,15.9,4.986764907836914
31,0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902
63,0.44999999,GMB,SubSaharian,1601.88,,49.20000076293945,3.4100001,,7.340400695800781
87,0.741,JOR,NorthAfrica,5188.9199,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127
121,0.92299998,NLD,WesternDem,42258.352,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031
119,,NRU,Pacific,3130.47,0.0120000001043081,,,48.900002,3.32664942741394
54,0.44100001,ETH,SubSaharian,900.77002,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865
172,0.484,TGO,SubSaharian,1036.28,6.928999900817871,,1.4400001,,5.24687671661377
98,0.71899998,LBY,NorthAfrica,4102.8398,6.265999794006348,13.19999980926514,0.0,,4.968935012817383
47,0.48100001,BEN,SubSaharian,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301
122,0.59799999,VUT,Pacific,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563
77,0.68599999,IDN,SouthEastAsia,4780.0098,252.1649932861328,25.79999923706055,0.090000004,38.5,2.84686017036438
168,0.93800002,CHE,WesternDem,50454.41,8.140000343322754,3.700000047683716,9.6099997,24.1,11.65926837921143
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,,0.17,,5.538873195648193
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193
148,,SMR,WesternDem,42664.211,0.034000001847744,,,,6.129065036773682
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,,1.92,,13.7335205078125
103,0.47299999,MWI,SubSaharian,938.34998,17.60400009155273,46.0,1.23,16.299999,11.37795639038086
171,0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166
97,0.42699999,LBR,SubSaharian,488.26999,,53.59999847412109,3.72,14.2,10.03633308410645
165,0.72299999,SUR,Caribbean,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259033
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707
43,0.82300001,HRV,EastEurope,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736328
169,0.55299997,SYR,NorthAfrica,4284.4199,,14.19999980926514,0.75999999,,3.254531145095825
184,0.90799999,GBR,WesternDem,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783
92,0.662,KGZ,EastEurope,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709
129,,MHL,Pacific,2833.97,0.0540000014007092,,,,17.13572311401367
126,0.52499998,NGA,SubSaharian,2246.8201,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273
76,0.61500001,IND,SouthAsia,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809
84,0.72899997,JAM,Caribbean,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918
93,0.58200002,LAO,SouthEastAsia,2926.77,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728
163,0.421,SSD,SubSaharian,,,,,,2.738420724868774
58,0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.400000095367432,8.8000002,21.799999,9.679908752441406
37,,TWN,EastAsia,33965.871,23.43400001525879,3.934564113616943,,,
1,0.76200002,ALB,EastEurope,8516.7002,,15.0,4.5100002,29.700001,5.883105278015137
10,0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,,9.4499998,,7.742364883422852
30,0.91900003,CAN,WesternDem,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455
64,0.92400002,DEU,WesternDem,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977
15,0.89499998,BEL,WesternDem,33764.711,11.18099975585938,3.400000095367432,12.6,23.9,10.59475135803223
180,0.48800001,UGA,SubSaharian,1343.45,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717
150,0.84500003,SAU,NorthAfrica,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949
52,0.67799997,SLV,LatAm,332.26999,,13.60000038146973,2.52,,6.772402763366699
160,0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,33.29999923706055,7.3800001,18.9,8.796984672546387
61,0.69400001,GAB,SubSaharian,14525.28,,42.40000152587891,8.8599997,,3.437471628189087
179,,TUV,Pacific,3174.05,0.0109999999403954,,1.34,,16.5366382598877
46,0.875,CZE,EastEurope,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523
11,0.82300001,BHR,NorthAfrica,22498.48,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686
106,0.43799999,MLI,SubSaharian,1063.26,14.85400009155273,79.5999984741211,0.61000001,18.6,6.862166404724121
24,0.792,BGR,EastEurope,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419922
44,0.773,CUB,LatAm,5899.9399,,,4.3699999,36.099998,11.05880069732666
177,0.764,TUR,NorthAfrica,16900.711,77.69599914550781,12.19999980926514,1.45,27.0,5.41495943069458
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082
111,,MCO,WesternDem,108481.13,,,,,4.337683200836182
149,0.565,STP,SubSaharian,2150.55,,,5.6900001,,8.353466033935547
17,0.671,BOL,LatAm,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703
27,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565
68,0.75099999,GRD,Caribbean,8314.5596,,,8.4200001,,6.09761381149292
88,0.55000001,KEN,SubSaharian,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.720291137695313
192,0.49900001,YEM,NorthAfrica,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018
65,0.57499999,GHA,SubSaharian,2584.6001,,48.59999847412109,1.64,6.3000002,3.557291984558106
113,0.70099998,MDA,EastEurope,4207.8701,3.555000066757202,15.10000038146973,9.9899998,23.799999,10.32365608215332
153,0.78100002,SYC,SubSaharian,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385
26,0.40599999,BDI,SubSaharian,663.57001,,66.9000015258789,4.1599998,,7.535565376281738
174,0.77899998,TTO,Caribbean,22089.16,1.353999972343445,18.39999961853027,6.9400001,,5.933197021484375
35,0.84500003,CHL,LatAm,15519.08,17.81900024414063,7.800000190734863,7.1599998,38.900002,7.785857677459717
182,0.74599999,MKD,EastEurope,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668
86,0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305
152,0.77499998,SRB,EastEurope,11343.92,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084
7,0.82599998,ARG,LatAm,15102.61,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176
133,0.51499999,PNG,Pacific,1693.54,6.880000114440918,,0.88,,4.263570785522461
101,0.89600003,LUX,WesternDem,61404.48,0.550000011920929,1.700000047683716,11.12,24.4,6.937873363494873
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,7.300000190734863,0.51999998,22.299999,4.169077873229981
187,0.39899999,BFA,SubSaharian,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301
48,0.92299998,DNK,WesternDem,37406.762,5.626999855041504,3.0,9.6400003,18.9,10.80495738983154
33,0.764,LKA,SouthAsia,5466.8701,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956
57,0.73400003,FJI,Pacific,3848.72,0.8799999952316284,,,26.5,4.487498760223389
34,0.39399999,TCD,SubSaharian,1651.05,,89.4000015258789,0.63999999,,3.621164321899414
90,0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832
